REGION,PRIMARY_SAMPLE_UNIT,STATION_NR,YEAR,MONTH,DAY,HABITAT_CD,STRAT,RUGOSITY_CD,WTD_RUG,LAT_DEGREES,LON_DEGREES,MAPGRID_NR,SUB_REGION_NAME,SUB_REGION_NR,ZONE_NAME,ZONE_NR,MPA_NAME,MPA_NR,ADMIN,PROT,DEPTH_STRAT,MIN_DEPTH,MAX_DEPTH,METERS_COMPLETED,SPECIES_CD,SPECIES_NAME,N,JUV,MAX_DIAMETER,PERP_DIAMETER,HEIGHT,OLD_MORT,RECENT_MORT,BLEACH_CONDITION,DISEASE
PRICO,9248,1,2014,9,7,SCR,SCR_SHLW,NA,0.247916667,18.4844876,-66.902002,13085473,NPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,3.962399873,4.876799844,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9249,1,2014,7,27,PVMT,PVMT_SHLW,NA,0.758333333,18.3919922,-67.482291,11590855,SWPRICO,NA,NA,NA,NA,NA,DESE,NA,SHLW,11.58239963,14.63039953,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9253,1,2014,7,27,PVMT,PVMT_DEEP,NA,0.739583333,18.3869509,-67.473344,11515172,SWPRICO,NA,NA,NA,NA,NA,DESE,NA,DEEP,16.15439948,17.37359944,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9256,1,2014,7,27,AGRF,AGRF_SHLW,NA,0.6375,18.3816395,-67.487114,11432559,SWPRICO,NA,NA,NA,NA,NA,DESE,NA,SHLW,10.36319967,13.10639958,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9257,1,2014,7,27,AGRF,AGRF_DEEP,NA,0.870833333,18.3784546,-67.484303,11384391,SWPRICO,NA,NA,NA,NA,NA,DESE,NA,DEEP,16.76399946,18.8975994,10,MYC LAMA,Mycetophyllia lamarckiana,1,0,17,12,3,0,0,N,A
PRICO,9260,1,2014,6,10,AGRF,AGRF_SHLW,NA,0.572916667,18.351301,-67.266913,10999459,NPRICO,NA,NA,NA,NA,NA,TPR,NA,SHLW,1.219199961,2.438399922,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9262,1,2014,9,8,BDRK,BDRK_DEEP,NA,0.254166667,18.4945032,-66.399207,13334287,NPRICO,NA,NA,NA,NA,NA,OPEN,NA,DEEP,10.97279965,12.80159959,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9267,1,2014,9,8,PVMT,PVMT_SHLW,NA,0.347916667,18.4840879,-66.332167,13189907,NPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,8.229599737,10.36319967,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9269,1,2014,8,26,PVMT,PVMT_SHLW,NA,0.227083333,18.3709901,-65.559523,11656859,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.315199766,8.534399727,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
PRICO,9270,1,2014,8,26,PVMT,PVMT_SHLW,NA,0.3,18.3638466,-65.538871,11553673,EPRICO,NA,NA,NA,NA,NA,OPEN,NA,SHLW,7.619999756,8.229599737,10,MYC LAMA,Mycetophyllia lamarckiana,0,0,NA,NA,NA,NA,NA,NA,NA
