"REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","MEAN_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE"
"PRICO",6121,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.316666666666667,17.95624,-66.79462,5054420,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.18159983418881,5.79119981468161,10,"ACR CERV","Acropora cervicornis",1,0,23,21,12,0,0,"N","A"
"PRICO",6121,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.316666666666667,17.95624,-66.79462,5054420,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.18159983418881,5.79119981468161,10,"ACR CERV","Acropora cervicornis",1,0,30,24,18,0,0,"N","A"
"PRICO",6121,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.316666666666667,17.95624,-66.79462,5054420,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",5.18159983418881,5.79119981468161,10,"ACR CERV","Acropora cervicornis",1,0,30,26,11,5,0,"N","A"
"PRICO",6122,1,2021,11,3,"PVMT","PVMT_SHLW",NA,NA,0.12,17.95639,-66.77246,5061349,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",11.2775996391168,11.5823996293632,10,"ACR CERV","Acropora cervicornis",1,0,16,9,8,0,0,"N","A"
"PRICO",6122,1,2021,11,3,"PVMT","PVMT_SHLW",NA,NA,0.12,17.95639,-66.77246,5061349,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",11.2775996391168,11.5823996293632,10,"ACR CERV","Acropora cervicornis",1,0,13,8,8,0,0,"N","A"
"PRICO",6133,1,2021,11,3,"AGRF","AGRF_SHLW",NA,NA,0.216666666666667,17.9646,-66.77938,5185210,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",1.8287999414784,2.4383999219712,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6136,1,2021,8,13,"PTRF","PTRF_DEEP",NA,NA,0.24,17.97882,-67.34376,5314772,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",14.9351995220736,15.5447995025664,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6140,1,2021,8,13,"PVMT","PVMT_SHLW",NA,NA,0.263333333333333,17.98699,-67.34746,5438640,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.667999658624,10.9727996488704,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6145,1,2021,8,13,"HARD","HARD_DEEP",NA,NA,0.48,17.99441,-67.37052,5548703,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",19.811999366016,20.4215993465088,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6150,1,2021,10,7,"PTRF","PTRF_DEEP",NA,NA,0.524,18.00115,-67.332,5658896,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"DEEP",13.715999561088,14.9351995220736,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
"PRICO",6153,1,2021,11,9,"PTRF","PTRF_SHLW",NA,NA,0.786666666666667,18.00335,-67.30986,5693353,"SWPRICO",NA,NA,NA,NA,NA,"OPEN",NA,"SHLW",10.0583996781312,11.8871996196096,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA
